#     11.315522
#      0.020945
     11.336467	 1
#     11.311369
#      0.021798
     11.333167	 2
#      5.684437
#      0.024106
      5.708543	 3
#      5.950583
#      0.025134
      5.975717	 4
#      3.081552
#      0.034224
      3.115776	 5
#      5.993095
#      0.028031
      6.021126	 6
#      3.643071
#      0.049353
      3.692424	 7
#      3.646516
#      0.046220
      3.692736	 8
#      2.414061
#      0.046515
      2.460576	 9
#      5.043122
#      0.039392
      5.082514	 10

