#      8.308549
#      0.020464
      8.329013     1
#      8.305179
#      0.020584
      8.325763     2
#      4.245801
#      0.024719
      4.270520     3
#      4.199238
#      0.026122
      4.225360     4
#      2.311624
#      0.033222
      2.344846     5
#      4.404838
#      0.034593
      4.439431     6
#      2.537740
#      0.050414
      2.588154     7
#      2.288437
#      0.052354
      2.340791     8
#      2.337033
#      0.042835
      2.379868     9
#      2.314235
#      0.045238
      2.359473     10
